ID_countryCode,Value
1,BG
2,US
3,CO
4,JE
5,UK
6,UP
7,CH
8,SP
9,CA
10,RS
11,HU
12,GM
13,JA
14,MN
15,HA
16,IT
17,SY
18,IS
19,AS
20,TS
21,CE
22,HK
23,ML
24,AG
25,MX
26,EG
27,TU
28,FR
29,SW
30,GH
31,JM
32,NO
33,NI
34,KE
35,ES
36,TH
37,LY
38,BT
39,PK
40,MD
41,BR
42,SN
43,IN
44,AF
45,QA
46,IZ
47,SF
48,AE
49,ZI
50,AO
51,AR
52,EI
53,AU
54,IR
55,UV
56,BO
57,MY
58,BX
59,CI
60,MK
61,NZ
62,NL
63,SZ
64,RP
65,PL
66,VT
67,LG
68,PE
69,KS
70,GR
71,EN
72,SA
73,KN
74,DA
75,PO
76,JO
77,IC
78,NG
79,YM
80,RI
81,KV
82,LA
83,LE
84,MO
85,RB
86,SU
87,CY
88,RO
89,CU
90,RQ
91,VE
92,BC
93,CJ
94,NP
95,MI
96,LO
97,CD
98,AL
99,BU
100,BE
101,TW
102,OD
103,TX
104,LH
105,ET
106,ID
107,BL
108,AM
109,MU
110,LI
111,TZ
112,GA
113,BA
114,HO
115,DR
116,DO
117,OS
118,VQ
119,EC
120,CT
121,AJ
122,BF
123,TO
124,EZ
125,MA
126,FI
127,WA
128,CB
129,TD
130,VM
131,SC
132,FJ
133,BM
134,PA
135,CS
136,WS
137,MC
138,SI
139,MJ
140,WE
141,TT
142,GG
143,PP
144,BD
145,BN
146,MV
147,SO
148,ZA
149,MZ
150,AY
151,GY
152,LU
153,GT
154,GB
155,BH
156,RN
157,TV
158,SM
159,TI
160,KG
161,HR
162,RW
163,CF
164,KU
165,PM
166,BK
167,SG
168,MR
169,CG
170,TN
171,GL
172,SE
173,KZ
174,UZ
175,UG
176,GK
177,NU
178,WI
179,DJ
180,MP
181,SL
182,MG
183,BB
184,FG
185,IV
186,VI
187,GJ
188,PU
189,GQ
190,GV
191,CV
192,ER
193,MT
194,CW
195,WZ
196,GI
197,CM
198,BY
199,UY
200,FP
201,ST
202,LT
203,LS
204,RE
205,KT
206,OC
207,FK
208,GZ
209,EK
210,RM
211,BP
212,VC
213,NS
214,AA
215,AC
216,PS
217,NH
218,AQ
219,TK
220,JN
221,NC
222,FM
223,CQ
224,SH
225,PC
226,CN
227,YI
228,KR
229,PG
230,MB
231,MH
232,WQ
233,AN
234,AV
235,NE
236,FO
237,SV
238,GP
239,NR
240,IO
241,TL
242,TP
243,NT
244,PF
245,MF
246,NF
