ID_geonameByCountryCode,ID_geoNames,ID_countryCode
1,1,1
2,2,2
3,4,3
4,5,2
5,6,4
6,7,5
7,8,2
8,3,2
9,9,6
10,10,7
11,11,2
12,12,8
13,13,9
14,14,2
15,15,5
16,16,10
17,17,2
18,19,12
19,20,13
20,21,6
21,22,6
22,23,14
23,25,6
24,26,15
25,18,11
26,27,16
27,24,10
28,29,17
29,31,2
30,32,2
31,135,44
32,136,45
33,69,2
34,138,47
35,55,24
36,134,26
37,139,19
38,140,48
39,142,50
40,141,49
41,143,51
42,144,51
43,145,19
44,51,19
45,34,19
46,33,19
47,146,19
48,147,52
49,148,19
50,71,2
51,149,19
52,150,19
53,151,6
54,153,19
55,154,53
56,156,55
57,157,56
58,158,57
59,95,38
60,107,42
61,122,2
62,160,16
63,161,2
64,162,28
65,163,18
66,37,20
67,164,59
68,72,16
69,165,60
70,132,2
71,63,28
72,166,5
73,167,2
74,168,61
75,89,2
76,62,27
77,169,16
78,40,9
79,28,2
80,90,21
81,170,29
82,171,2
83,38,2
84,99,2
85,172,9
86,109,9
87,39,9
88,173,62
89,82,9
90,175,63
91,96,7
92,42,7
93,176,7
94,177,64
95,43,7
96,178,5
97,103,10
98,179,65
99,106,6
100,77,16
101,181,2
102,182,65
103,183,66
104,184,67
105,185,2
106,186,2
107,48,2
108,187,2
109,188,2
110,189,2
111,190,33
112,191,2
113,45,21
114,129,2
115,130,2
116,192,2
117,193,2
118,194,2
119,195,2
120,196,2
121,197,2
122,198,2
123,199,2
124,81,2
125,200,30
126,201,54
127,202,25
128,100,2
129,203,2
130,204,2
131,93,2
132,112,2
133,206,2
134,87,2
135,207,25
136,65,5
137,208,2
138,116,2
139,59,21
140,209,2
141,210,2
142,211,2
143,212,2
144,213,2
145,214,12
146,64,5
147,56,2
148,215,43
149,216,68
150,217,2
151,218,28
152,219,5
153,98,33
154,220,69
155,221,2
156,58,13
157,222,70
158,223,2
159,224,62
160,225,2
161,60,25
162,61,26
163,226,2
164,227,8
165,228,71
166,229,72
167,232,74
168,233,75
169,234,28
170,235,5
171,236,5
172,237,5
173,238,2
174,83,5
175,231,6
176,239,6
177,240,2
178,242,47
179,243,30
180,244,30
181,245,30
182,46,22
183,246,2
184,68,25
185,247,16
186,73,32
187,70,31
188,248,2
189,47,2
190,249,22
191,101,39
192,155,54
193,250,2
194,105,10
195,113,2
196,230,73
197,252,46
198,253,76
199,254,2
200,111,2
201,76,18
202,180,36
203,255,77
204,256,32
205,257,78
206,258,2
207,259,2
208,260,2
209,261,2
210,262,79
211,263,2
212,264,80
213,265,81
214,266,2
215,267,43
216,133,43
217,268,54
218,137,46
219,271,46
220,273,77
221,274,18
222,275,16
223,276,16
224,78,16
225,79,16
226,80,16
227,108,6
228,277,13
229,278,2
230,131,2
231,279,2
232,280,2
233,97,33
234,125,2
235,86,34
236,281,69
237,282,69
238,283,2
239,284,2
240,285,2
241,286,2
242,88,35
243,287,2
244,288,82
245,289,83
246,92,37
247,290,37
248,291,84
249,292,2
250,293,21
251,294,20
252,296,19
253,297,9
254,50,2
255,120,25
256,298,25
257,299,25
258,54,23
259,303,60
260,304,2
261,74,33
262,295,63
263,305,64
264,307,65
265,308,2
266,309,45
267,152,45
268,102,40
269,310,2
270,311,6
271,312,73
272,313,29
273,315,27
274,316,27
275,302,63
276,317,87
277,319,2
278,84,2
279,320,2
280,251,2
281,128,2
282,321,2
283,322,2
284,323,2
285,49,2
286,324,2
287,75,2
288,325,2
289,123,2
290,326,2
291,327,2
292,117,2
293,118,2
294,119,2
295,121,2
296,328,2
297,329,2
298,126,2
299,330,2
300,53,2
301,127,2
302,331,2
303,85,2
304,332,2
305,110,2
306,333,2
307,114,2
308,52,2
309,272,54
310,334,2
311,335,2
312,174,2
313,336,2
314,337,43
315,338,2
316,339,2
317,340,2
318,44,2
319,344,2
320,342,89
321,347,2
322,346,91
323,345,90
324,348,2
325,349,49
326,350,92
327,351,7
328,352,7
329,353,2
330,354,2
331,341,74
332,356,2
333,355,39
334,357,2
335,358,52
336,359,6
337,361,2
338,362,36
339,363,44
340,426,44
341,428,98
342,364,19
343,365,19
344,432,100
345,429,99
346,433,6
347,434,2
348,435,2
349,436,5
350,437,7
351,402,2
352,377,2
353,439,43
354,440,91
355,395,2
356,410,95
357,441,10
358,442,49
359,366,9
360,443,9
361,367,9
362,444,9
363,445,9
364,446,9
365,447,9
366,368,9
367,448,9
368,450,7
369,451,43
370,452,7
371,399,7
372,453,101
373,454,39
374,455,102
375,456,7
376,457,7
377,418,76
378,458,39
379,459,39
380,460,39
381,461,39
382,462,86
383,463,88
384,464,6
385,412,97
386,370,43
387,465,43
388,466,31
389,401,2
390,467,2
391,379,2
392,416,2
393,417,2
394,468,2
395,469,2
396,371,36
397,470,36
398,373,2
399,471,103
400,472,43
401,473,43
402,474,103
403,475,104
404,476,44
405,477,6
406,420,2
407,385,93
408,478,2
409,479,39
410,382,48
411,378,49
412,480,105
413,481,2
414,482,39
415,421,2
416,483,2
